district,campus,unarticulated_receiver
Allan Hancock Joint Community College District,UCLA,ECON 11
Allan Hancock Joint Community College District,UCLA,ECON 41
Antelope Valley Community College District,UCLA,ECON 11
Antelope Valley Community College District,UCLA,ECON 41
Barstow Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021B]
Barstow Community College District,UCLA,ECON 11
Barstow Community College District,UCLA,ECON 41
Butte-Glenn Community College District,UCLA,ECON 11
Butte-Glenn Community College District,UCLA,ECON 41
Cabrillo Community College District,UCLA,ECON 11
Cabrillo Community College District,UCLA,ECON 41
Cerritos Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021B]
Cerritos Community College District,UCLA,ECON 11
Cerritos Community College District,UCLA,ECON 41
Chabot-Las Positas Community College District,UCLA,ECON 11
Chabot-Las Positas Community College District,UCLA,ECON 41
Chaffey Community College District,UCLA,ECON 11
Chaffey Community College District,UCLA,ECON 41
Citrus Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021A / MAT 021B]
Citrus Community College District,UCLA,ECON 11
Citrus Community College District,UCLA,ECON 41
Coast Community College District,UCLA,ECON 11
Coast Community College District,UCLA,ECON 41
Compton Community College District,UCLA,ECON 11
Compton Community College District,UCLA,ECON 41
Contra Costa Community College District,UCLA,ECON 11
Contra Costa Community College District,UCLA,ECON 41
Copper Mountain Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021A / MAT 021B]
Copper Mountain Community College District,UCLA,ECON 11
Copper Mountain Community College District,UCLA,ECON 41
Desert Community College District,UCLA,ECON 11
Desert Community College District,UCLA,ECON 41
El Camino Community College District,UCLA,ECON 11
El Camino Community College District,UCLA,ECON 41
Feather River Community College District,UCLA,ECON 11
Feather River Community College District,UCLA,ECON 41
Feather River Community College District,UCSD,1 of [MATH 10A / MATH 10B / MATH 10C / MATH 20C]
Foothill-De Anza Community College District,UCLA,ECON 11
Foothill-De Anza Community College District,UCLA,ECON 41
Gavilan Community College District,UCLA,ECON 11
Gavilan Community College District,UCLA,ECON 41
Glendale Community College District,UCLA,ECON 11
Glendale Community College District,UCLA,ECON 41
Grossmont-Cuyamaca Community College District,UCLA,ECON 11
Grossmont-Cuyamaca Community College District,UCLA,ECON 41
Hartnell Community College District,UCLA,ECON 11
Hartnell Community College District,UCLA,ECON 41
Imperial Community College District,UCLA,ECON 11
Imperial Community College District,UCLA,ECON 41
Kern Community College District,UCLA,ECON 11
Kern Community College District,UCLA,ECON 41
Lake Tahoe Community College District,UCLA,ECON 11
Lake Tahoe Community College District,UCLA,ECON 41
Lassen Community College District,UCLA,ECON 11
Lassen Community College District,UCLA,ECON 41
Lassen Community College District,UCSD,1 of [MATH 10A / MATH 10B / MATH 10C / MATH 20C]
Long Beach Community College District,UCLA,ECON 11
Long Beach Community College District,UCLA,ECON 41
Long Beach Community College District,UCSD,ECON 1
Long Beach Community College District,UCSD,ECON 3
Los Angeles Community College District,UCLA,ECON 11
Los Angeles Community College District,UCLA,ECON 41
Los Rios Community College District,UCLA,ECON 11
Los Rios Community College District,UCLA,ECON 41
Marin Community College District,UCLA,ECON 11
Marin Community College District,UCLA,ECON 41
Mendocino-Lake Community College District,UCLA,ECON 11
Mendocino-Lake Community College District,UCLA,ECON 41
Merced Community College District,UCLA,ECON 11
Merced Community College District,UCLA,ECON 41
MiraCosta Community College District,UCLA,ECON 11
MiraCosta Community College District,UCLA,ECON 41
Monterey Peninsula Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021A / MAT 021B]
Monterey Peninsula Community College District,UCLA,ECON 11
Monterey Peninsula Community College District,UCLA,ECON 41
Mt. San Antonio Community College District,UCLA,ECON 11
Mt. San Antonio Community College District,UCLA,ECON 41
Mt. San Jacinto Community College District,UCLA,ECON 11
Mt. San Jacinto Community College District,UCLA,ECON 41
Napa Valley Community College District,UCLA,ECON 11
Napa Valley Community College District,UCLA,ECON 41
Napa Valley Community College District,UCSD,ECON 1
Napa Valley Community College District,UCSD,ECON 3
North Orange County Community College District,UCLA,ECON 11
North Orange County Community College District,UCLA,ECON 41
Ohlone Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021A / MAT 021B]
Ohlone Community College District,UCLA,ECON 11
Ohlone Community College District,UCLA,ECON 41
Palo Verde Community College District,UCB,1 of [MATH 16A + MATH 16B / MATH 51 + MATH 52]
Palo Verde Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021A / MAT 021B]
Palo Verde Community College District,UCI,MATH 2A
Palo Verde Community College District,UCI,MATH 2B
Palo Verde Community College District,UCLA,ECON 11
Palo Verde Community College District,UCLA,ECON 41
Palo Verde Community College District,UCLA,MATH 31A
Palo Verde Community College District,UCLA,MATH 31B
Palo Verde Community College District,UCM,1 of [MATH 011 / MATH 021]
Palo Verde Community College District,UCSB,1 of [MATH 34A / MATH 3A]
